id,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10
29109,6.696,10.638,0.985,0.403,0.402,-0.104,174.097,13046.164,192.191,1
29110,6.696,10.638,0.985,0.403,0.402,-0.104,174.097,13046.164,192.191,1
29111,6.696,10.638,0.985,0.403,0.402,-0.104,174.097,13046.164,192.191,1
29112,6.692,10.636,0.982,0.396,0.4,-0.088,168.553,13079.116,191.798,1
29113,6.692,10.636,0.982,0.396,0.4,-0.088,168.553,13079.116,191.798,1
29114,6.692,10.636,0.982,0.396,0.4,-0.088,168.553,13079.116,191.798,1
29115,6.672,10.651,0.974,0.397,0.4,-0.082,169.82,13080.059,192.58,0
29116,6.672,10.651,0.974,0.397,0.4,-0.082,169.82,13080.059,192.58,0
29117,6.672,10.651,0.974,0.397,0.4,-0.082,169.82,13080.059,192.58,0
29118,6.641,10.671,0.967,0.398,0.4,-0.084,170.445,13082.839,192.211,0
29119,6.641,10.671,0.967,0.398,0.4,-0.084,170.445,13082.839,192.211,0
29120,6.641,10.671,0.967,0.398,0.4,-0.084,170.445,13082.839,192.211,0
29121,6.615,10.687,0.96,0.386,0.4,-0.092,171.768,13086.692,192.963,0
29122,6.615,10.687,0.96,0.386,0.4,-0.092,171.768,13086.692,192.963,0
29123,6.615,10.687,0.96,0.386,0.4,-0.092,171.768,13086.692,192.963,0
29124,6.59,10.702,0.96,0.39,0.4,-0.088,168.691,13099.088,193.006,0
29125,6.59,10.702,0.96,0.39,0.4,-0.088,168.691,13099.088,193.006,0
29126,6.59,10.702,0.96,0.39,0.4,-0.088,168.691,13099.088,193.006,0
29127,6.579,10.701,0.959,0.393,0.4,-0.058,168.097,13162.077,193.954,0
29128,6.579,10.701,0.959,0.393,0.4,-0.058,168.097,13162.077,193.954,0
29129,6.579,10.701,0.959,0.393,0.4,-0.058,168.097,13162.077,193.954,0
29130,6.585,10.697,0.952,0.393,0.4,-0.071,170.26,13205.626,194.376,0
29131,6.585,10.697,0.952,0.393,0.4,-0.071,170.26,13205.626,194.376,0
29132,6.585,10.697,0.952,0.393,0.4,-0.071,170.26,13205.626,194.376,0
29133,6.604,10.688,0.959,0.39,0.4,-0.062,169.843,13184.465,194.781,0
29134,6.604,10.688,0.959,0.39,0.4,-0.062,169.843,13184.465,194.781,0
29135,6.604,10.688,0.959,0.39,0.4,-0.062,169.843,13184.465,194.781,0
29136,6.616,10.677,0.96,0.381,0.4,-0.074,169.885,13176.906,194.173,0
29137,6.616,10.677,0.96,0.381,0.4,-0.074,169.885,13176.906,194.173,1
29138,6.616,10.677,0.96,0.381,0.4,-0.074,169.885,13176.906,194.173,1
29139,6.628,10.669,0.96,0.374,0.4,-0.082,169.389,13184.453,194.432,1
29140,6.628,10.669,0.96,0.374,0.4,-0.082,169.389,13184.453,194.432,1
29141,6.628,10.669,0.96,0.374,0.4,-0.082,169.389,13184.453,194.432,1
29142,6.637,10.671,0.96,0.363,0.398,-0.081,170.523,13153.718,193.776,1
29143,6.637,10.671,0.96,0.363,0.398,-0.081,170.523,13153.718,193.776,1
29144,6.637,10.671,0.96,0.363,0.398,-0.081,170.523,13153.718,193.776,1
29145,6.568,10.669,0.953,0.297,0.392,-0.084,165.853,13173.982,193.874,1
29146,6.568,10.669,0.953,0.297,0.392,-0.084,165.853,13173.982,193.874,0
29147,6.568,10.669,0.953,0.297,0.392,-0.084,165.853,13173.982,193.874,0
29148,6.59,10.598,0.954,0.314,0.398,-0.085,168.81,13272.143,193.014,0
29149,6.59,10.598,0.954,0.314,0.398,-0.085,168.81,13272.143,193.014,0
29150,6.59,10.598,0.954,0.314,0.398,-0.085,168.81,13272.143,193.014,0
29151,6.603,10.524,0.957,0.354,0.398,-0.084,169.99,13268.032,193.168,0
29152,6.603,10.524,0.957,0.354,0.398,-0.084,169.99,13268.032,193.168,0
29153,6.603,10.524,0.957,0.354,0.398,-0.084,169.99,13268.032,193.168,0
29154,6.477,10.612,0.936,0.353,0.395,-0.083,171.02,13315.696,192.749,0
29155,6.477,10.612,0.936,0.353,0.395,-0.083,171.02,13315.696,192.749,0
29156,6.477,10.612,0.936,0.353,0.395,-0.083,171.02,13315.696,192.749,0
29157,5.701,9.65,0.77,0.319,0.392,-0.055,166.742,13304.619,193.151,0
29158,5.701,9.65,0.77,0.319,0.392,-0.055,166.742,13304.619,193.151,0
29159,5.701,9.65,0.77,0.319,0.392,-0.055,166.742,13304.619,193.151,0
29160,4.842,8.348,0.644,0.266,0.392,-0.066,169.293,13315.482,193.248,0
29161,4.842,8.348,0.644,0.266,0.392,-0.066,169.293,13315.482,193.248,0
29162,4.842,8.348,0.644,0.266,0.392,-0.066,169.293,13315.482,193.248,0
29163,4.094,7.147,0.552,0.226,0.398,-0.057,170.231,13333.125,192.76,1
29164,4.094,7.147,0.552,0.226,0.398,-0.057,170.231,13333.125,192.76,1
29165,4.094,7.147,0.552,0.226,0.398,-0.057,170.231,13333.125,192.76,1
29166,3.371,6.007,0.471,0.184,0.4,-0.068,169.419,13346.181,192.155,1
29167,3.371,6.007,0.471,0.184,0.4,-0.068,169.419,13346.181,192.155,1
29168,3.371,6.007,0.471,0.184,0.4,-0.068,169.419,13346.181,192.155,1
29169,2.741,5.032,0.405,0.155,0.392,-0.074,166.648,13314.957,191.791,1
29170,2.741,5.032,0.405,0.155,0.392,-0.074,166.648,13314.957,191.791,1
29171,2.741,5.032,0.405,0.155,0.392,-0.074,166.648,13314.957,191.791,1
29172,2.336,4.356,0.375,0.129,0.39,-0.081,170.708,13291.857,190.949,0
29173,2.336,4.356,0.375,0.129,0.39,-0.081,170.708,13291.857,190.949,0
29174,2.336,4.356,0.375,0.129,0.39,-0.081,170.708,13291.857,190.949,0
29175,2.269,4.092,0.405,0.115,0.398,-0.079,172.064,13259.16,191.806,0
29176,2.269,4.092,0.405,0.115,0.398,-0.079,172.064,13259.16,191.806,0
29177,2.269,4.092,0.405,0.115,0.398,-0.079,172.064,13259.16,191.806,0
29178,2.855,4.613,0.52,0.158,0.39,-0.082,167.873,13170.378,191.245,0
29179,2.855,4.613,0.52,0.158,0.39,-0.082,167.873,13170.378,191.245,0
29180,2.855,4.613,0.52,0.158,0.39,-0.082,167.873,13170.378,191.245,0
29181,3.823,5.857,0.648,0.21,0.398,-0.071,170.867,13152.873,191.51,0
29182,3.823,5.857,0.648,0.21,0.398,-0.071,170.867,13152.873,191.51,0
29183,3.823,5.857,0.648,0.21,0.398,-0.071,170.867,13152.873,191.51,0
29184,4.651,7.132,0.733,0.262,0.398,-0.06,170.293,13080.787,192.011,0
29185,4.651,7.132,0.733,0.262,0.398,-0.06,170.293,13080.787,192.011,0
29186,4.651,7.132,0.733,0.262,0.398,-0.06,170.293,13080.787,192.011,0
29187,5.28,8.129,0.796,0.304,0.398,-0.067,169.101,13041.963,191.996,0
29188,5.28,8.129,0.796,0.304,0.398,-0.067,169.101,13041.963,191.996,0
29189,5.28,8.129,0.796,0.304,0.398,-0.067,169.101,13041.963,191.996,0
29190,5.754,8.918,0.841,0.328,0.4,-0.058,169.868,12994.944,192.382,0
29191,5.754,8.918,0.841,0.328,0.4,-0.058,169.868,12994.944,192.382,0
29192,5.754,8.918,0.841,0.328,0.4,-0.058,169.868,12994.944,192.382,0
29193,6.088,9.479,0.869,0.343,0.4,-0.057,168.546,12911.729,192.963,1
29194,6.088,9.479,0.869,0.343,0.4,-0.057,168.546,12911.729,192.963,1
29195,6.088,9.479,0.869,0.343,0.4,-0.057,168.546,12911.729,192.963,1
29196,6.317,9.867,0.89,0.342,0.398,-0.052,170.661,12824.151,192.021,1
29197,6.317,9.867,0.89,0.342,0.398,-0.052,170.661,12824.151,192.021,1
29198,6.317,9.867,0.89,0.342,0.398,-0.052,170.661,12824.151,192.021,1
29199,6.472,10.122,0.905,0.348,0.395,-0.062,171.812,12751.749,193.015,1
29200,6.472,10.122,0.905,0.348,0.395,-0.062,171.812,12751.749,193.015,1
29201,6.472,10.122,0.905,0.348,0.395,-0.062,171.812,12751.749,193.015,1
29202,6.577,10.298,0.912,0.342,0.392,-0.067,171.014,12757.751,192.463,0
29203,6.577,10.298,0.912,0.342,0.392,-0.067,171.014,12757.751,192.463,0
29204,6.577,10.298,0.912,0.342,0.392,-0.067,171.014,12757.751,192.463,0
29205,6.638,10.406,0.919,0.341,0.398,-0.072,170.72,12795.863,192.377,0
29206,6.638,10.406,0.919,0.341,0.398,-0.072,170.72,12795.863,192.377,0
29207,6.638,10.406,0.919,0.341,0.398,-0.072,170.72,12795.863,192.377,0
29208,6.67,10.482,0.922,0.338,0.4,-0.078,170.403,12793.05,193.484,0
